x,y,w,h,aspect_ratio,ground_truth,predicted
42,52,64,64,1.0,left,center
125,55,53,53,1.0,right,center
48,63,46,46,1.0,left,center
67,159,40,40,1.0,center,center
127,57,52,52,1.0,right,center
82,170,23,23,1.0,center,center
45,65,46,46,1.0,left,center
134,64,51,51,1.0,right,center
49,69,49,49,1.0,left,center
128,56,51,51,1.0,right,center
45,63,47,47,1.0,left,center
132,64,51,51,1.0,right,center
48,68,50,50,1.0,left,center
133,64,52,52,1.0,right,center
88,178,24,24,1.0,center,center
48,68,51,51,1.0,left,center
137,66,48,48,1.0,right,center
57,70,47,47,1.0,center,center
89,176,26,26,1.0,center,center
91,172,24,24,1.0,center,center
118,54,65,65,1.0,right,center
52,59,60,60,1.0,center,center
54,70,48,48,1.0,left,center
127,63,52,52,1.0,right,center
47,67,47,47,1.0,left,center
123,58,54,54,1.0,right,center
127,60,51,51,1.0,right,center
48,67,47,47,1.0,left,center
131,63,50,50,1.0,right,center
50,70,47,47,1.0,left,center
131,61,52,52,1.0,right,center
50,70,46,46,1.0,left,center
131,59,53,53,1.0,right,center
50,68,46,46,1.0,left,center
49,67,46,46,1.0,left,center
130,59,52,52,1.0,right,center
130,58,52,52,1.0,right,center
49,67,46,46,1.0,left,center
59,73,45,45,1.0,left,center
139,63,53,53,1.0,right,center
46,0,21,21,1.0,left,right
138,61,54,54,1.0,right,center
57,71,47,47,1.0,left,center
139,62,52,52,1.0,right,center
57,72,46,46,1.0,left,center
136,61,53,53,1.0,right,center
55,71,45,45,1.0,left,center
136,60,52,52,1.0,right,center
54,70,45,45,1.0,left,center
91,170,22,22,1.0,center,center
52,70,45,45,1.0,left,center
133,60,52,52,1.0,right,center
85,174,24,24,1.0,center,center
129,61,54,54,1.0,right,center
49,71,46,46,1.0,left,center
130,60,52,52,1.0,right,center
48,69,46,46,1.0,left,center
131,60,51,51,1.0,right,center
50,69,45,45,1.0,left,center
136,60,50,50,1.0,right,center
54,68,45,45,1.0,left,center
50,68,45,45,1.0,left,center
87,169,26,26,1.0,center,center
131,58,54,54,1.0,right,center
130,59,51,51,1.0,right,center
49,67,46,46,1.0,left,center
129,63,51,51,1.0,right,center
48,72,44,44,1.0,left,center
47,65,46,46,1.0,left,center
128,57,52,52,1.0,right,center
134,63,52,52,1.0,right,center
52,73,45,45,1.0,left,center
85,169,24,24,1.0,center,center
130,60,52,52,1.0,right,center
49,69,45,45,1.0,left,center
129,60,52,52,1.0,right,center
49,69,45,45,1.0,left,center
127,60,51,51,1.0,right,center
46,69,45,45,1.0,left,center
128,59,52,52,1.0,right,center
47,67,47,47,1.0,left,center
130,63,51,51,1.0,right,center
48,72,45,45,1.0,left,center
130,63,52,52,1.0,right,center
48,72,46,46,1.0,left,center
48,69,46,46,1.0,left,center
131,62,50,50,1.0,right,center
44,69,46,46,1.0,left,center
126,60,53,53,1.0,right,center
47,72,44,44,1.0,left,center
130,62,51,51,1.0,right,center
129,61,51,51,1.0,right,center
47,70,45,45,1.0,left,center
48,70,43,43,1.0,left,center
128,59,52,52,1.0,right,center
126,64,51,51,1.0,right,center
50,66,52,52,1.0,left,center
114,37,86,86,1.0,right,right
130,61,51,51,1.0,right,center
52,69,45,45,1.0,left,center
55,70,45,45,1.0,left,center
132,62,51,51,1.0,right,center
53,66,48,48,1.0,center,center
